"Username","Last Name","First Name","Question ID","Question","Answer","Possible Points","Auto Score","Manual Score"
"ID0045",NA,NA,"Question ID 1","<!--RsQ_001-->Which of the following characteristics of pie is/are quantitative variables? CHOOSE ALL THAT APPLY. ","Number of cups of flour used",1,0,NA
"ID0045",NA,NA,"Question ID 2","<!--RsQ_006-->Which of the following is/are appropriate displays for the distribution of salaries at a small company with 75 employees? <br><br>I. Pie Graph<br>II. Histogram<br>III. Stem-and-leaf Plot ","I, II and III ",1,0,NA
"ID0045",NA,NA,"Question ID 3","<!--RsQ_008-->A histogram for the birth weight (in oz.) of a sample of 100 general introductory statistics students is pictured below. <br>&nbsp;<br><span style=font-family:'Arial Unicode MS'; color:#000000;><IMG src=ppg/respondus/exam_Topic3/birthweight.jpg alt=image align=bottom border=0></span><br>&nbsp;<br>The values on the horizontal axis are: ","The mean number of students for each bin. ",1,0,NA
"ID0045",NA,NA,"Question ID 4","<!--RsQ_012-->A histogram for the arrival times at the theater before the start of a new movie for 100 people is pictured below. <br><br><span style=font-family:'Arial Unicode MS'; color:#000000;><IMG src=ppg/respondus/exam_Topic3/arrivaltimes2.jpg alt=image align=bottom border=0></span><br>&nbsp;<br>The values on the vertical axis are: ","The number of people. ",1,1,NA
"ID0045",NA,NA,"Question ID 5","<!--RsQ_014-->Below is a histogram of the tips (in dollars) received by a server at a restaurant over a one-week period.<br><br><span style=font-family:'Arial Unicode MS'; color:#000000;><IMG src=ppg/respondus/exam_Topic3/tips.jpg alt=image align=bottom border=0></span>&nbsp;<br><br>The second tallest bin has a count of 43. This indicates: ","There were 43 five dollar tips. ",1,0,NA
"ID0045",NA,NA,"Question ID 6","<!--RsQ_019-->Below is a histogram for arrival delays of flights for an airline.<br>&nbsp;<br><span style=font-family:'Arial Unicode MS'; color:#000000;><IMG src=ppg/respondus/exam_Topic3/flights.jpg alt=image align=bottom border=0></span><br>&nbsp;<br>How many flights were delayed between 0 and 10 minutes? ","5",1,0,NA
"ID0045",NA,NA,"Question ID 7","<!--RsQ_021-->Below is a histogram for arrival delays of flights for an airline.<br>&nbsp;<br><span style=font-family:'Arial Unicode MS'; color:#000000;><IMG src=ppg/respondus/exam_Topic3/flights.jpg alt=image align=bottom border=0></span> <br><br>How many flights were delayed between 10 and 30 minutes? ","31 ",1,0,NA
"ID0045",NA,NA,"Question ID 8","<!--RsQ_027-->Which of the following best describes the shape of the distribution pictured below?<br><br><span style=font-family:'Arial Unicode MS'; color:#000000;><IMG src=ppg/respondus/exam_Topic3/exp2.png alt=C:\Respondus Projects\Chapter4 Online Ver2\exp.png align=bottom border=0></span>&nbsp; ","Symmetric and unimodal",1,0,NA
"ID0045",NA,NA,"Question ID 9","<!--RsQ_026-->Which of the following best describes the shape of the distribution pictured below?<br><br><span style=font-family:'Arial Unicode MS'; color:#000000;><IMG src=ppg/respondus/exam_Topic3/normal2.png alt=C:\Users\Amy\Documents\My Dropbox\Stat101 project\Chapter 4\Chapter4 Online\blowhole stemandleaf.JPG align=bottom border=0></span><span style=font-family:'Arial Unicode MS'; color:#000000;>&nbsp;</span> ","Skewed right and unimodal",1,0,NA
"ID0045",NA,NA,"Question ID 10","<!--RsQ_029-->Data are obtained on the forced expiratory volume (FEV) of youths in East Boston in the late 1970s. Forced expiratory volume (FEV) is a measure of lung capacity, in liters. The initial measurements in the 1970s provide a baseline value to study the impact of smoking on lung function. The data for this problem are a random sample of 100 FEV values.<br><br><IMG src=ppg/respondus/exam_Topic3/fev_dist.jpg alt=C:\Users\Amy\Documents\My Dropbox\Stat101 project\Chapter 4\Chapter4 Online\FEV_dist.JPG align=bottom border=0><span style=font-family:'Arial Unicode MS'; color:#000000;>&nbsp;</span> <br><br>Which of the following statements does NOT describe the distribution of FEV values? ","The distribution of FEV values is unimodal.",1,0,NA
